title,brand,price,rating,total reviews,stock,link
Head Graphene Touch Speed Adaptive Tennis Racquet,Head,169.95,4.6,8,,https://amazon.ca/HEAD-Graphene-Adaptive-Tennis-Racquet/dp/B01MR544LG/ref=sr_1_50?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-50
Wilson Serena 19-Inch Junior Tennis Racquet for Kids 2 to 4 Years Old,Wilson,29.95,,2,In Stock,https://amazon.ca/Wilson-Serena-19-Inch-Junior-Racquet/dp/B08463J2DC/ref=sr_1_51?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-51
HEAD Ti S6 Tennis Racket - Pre-Strung Head Heavy Balance 27.75 Inch Racquet,Head,169.95,4.7,"1,016",,https://amazon.ca/HEAD-Ti-S6-Strung-Tennis-Racquet/dp/B00PETDZ4K/ref=sr_1_52?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-52
HEAD Tennis Racquet Cover Bag - Lightweight Padded Racket Carrying Bag w/Adjustable Shoulder Strap,Head,19.95,4.6,"3,173",In Stock,https://amazon.ca/HEAD-Full-Tennis-Racquet-Cover/dp/B003PVAX9O/ref=sr_1_53?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-53
Head Graphene 360+ Instinct MP Tennis Racquet,Head,169.95,4.7,41,In Stock,https://amazon.ca/HEAD-Graphene-Instinct-Racquet-Performance/dp/B08GQCG8DT/ref=sr_1_54?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-54
Wilson Roger Federer 21 Junior Tennis Racquet,Wilson,54.62,,25,,https://amazon.ca/Wilson-Federer-Junior-Tennis-Racquet/dp/B0892QDYB1/ref=sr_1_55?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-55
"Wilson Unisex-Youth Roger Federer Tennis Racket, Black/Red, 25",Wilson,44.95,4.,32,In Stock,https://amazon.ca/Wilson-Federer-Junior-Tennis-Racquet/dp/B082XKWV38/ref=sr_1_56?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-56
Wilson WRT31090U2 Triumph Tennis Rackets,Wilson,0,4.6,119,,https://amazon.ca/Wilson-WRT31090U2-Triumph-Tennis-Rackets/dp/B06XTZ1ZPL/ref=sr_1_57?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-57
Head Metallix Spark Tour Stealth Tennis Racket - Pre-Strung Adult Tennis Racquet for Control,Head,103.47,,64,,https://amazon.ca/HEAD-Metallix-Stealth-Tennis-Racket/dp/B08X71XP6K/ref=sr_1_58?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-58
Babolat Pure Drive Tennis Racquet (10th Gen) - Strung with 16g White Babolat Syn Gut at Mid-Range Tension,Babolat,309.99,4.,287,In Stock,https://amazon.ca/Babolat-Pure-Drive-Tennis-Racquet/dp/B08F7JNYZJ/ref=sr_1_59?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-59
HEAD Graphene XT Radical MP Tennis Racquet - Pre-Strung 27 Inch Intermediate Adult Racket - 4 1/2 Grip,Head,203.4,,34,,https://amazon.ca/HEAD-0726424221851-Graphene-XT-RADICA/dp/B01B8DB6A0/ref=sr_1_60?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-60
Head MX Spark Pro Tennis Racquet (Pre-Strung),Head,79.95,,7,Only 3 left in stock.,https://amazon.ca/HEAD-Spark-Tennis-Racket-Black/dp/B09SD5GZVS/ref=sr_1_61?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-61
Wilson Federer Control 103 Tennis Racquet Bundled with an Advantage II Tennis Bag in Your Choice of Colors (Incredible Feel and Control),Wilson,162.62,4.,123,,https://amazon.ca/Federer-Precision-Racquet-Advantage-Incredible/dp/B08885NYRC/ref=sr_1_62?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-62
Head Graphene 360+ Extreme S Tennis Racquet,Head,149.95,4.6,36,,https://amazon.ca/HEAD-Graphene-Extreme-Tennis-Racquet/dp/B08D7249Z2/ref=sr_1_63?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-63
"HEAD Ti. Reward Tennis Racket - Pre-Strung, HEAD Light Balance, 27 Inch Standard Length",Head,53.75,,,,https://amazon.ca/HEAD-Ti-Reward-Tennis-Racket/dp/B0B6LBHYJX/ref=sr_1_64?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-64
"Wilson Pro Tennis Racquet Over Grip, Pack of 3",Wilson,16.69,4.,"5,204",In Stock,https://amazon.ca/Wilson-WRZ4014WH-Overgrip-Racquet-Grips-White/dp/B00GKQFVHK/ref=sr_1_65?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-65
